uid,S-MHA Error,S-MHA Uncertainty,E-MHA Error,E-MHA Uncertainty,E-CPV Error,E-CPV Uncertainty,Validation Fold,Testing Fold,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
PHD_2154,3.605551275463989,0.4592142,11.40175425099138,0.1986489206552505,32.28002478313795,32.00237045288086,1,0,4,4,3
PHD_2158,8.06225774829855,0.40108705,5.0,0.1964262753725051,7.615773105863909,23.261888313293458,1,0,4,4,3
PHD_217,4.123105625617661,0.5451873,4.47213595499958,0.4651270180940628,7.211102550927978,5.466025543212891,1,0,0,2,1
PHD_2194,88.32326986700618,0.33635128,81.49846624323675,0.2082745105028152,76.4198926981712,22.343927764892577,1,0,4,4,4
PHD_220,17.4928556845359,0.48345363,11.704699910719626,0.4703567653894424,13.038404810405298,4.332523822784424,1,0,0,1,2
PHD_2206,8.06225774829855,0.5722287,12.0,0.4756801933050155,14.317821063276352,11.202577686309814,1,0,3,1,0
PHD_2212,3.605551275463989,0.55061597,6.324555320336759,0.4817758768796921,10.770329614269007,10.946715450286865,1,0,2,0,1
PHD_2217,6.324555320336759,0.54821986,10.198039027185567,0.4897901087999344,7.211102550927978,5.412363886833191,1,0,0,0,1
PHD_2223,8.602325267042627,0.5197781,8.06225774829855,0.4571768790483475,6.0,9.883596992492675,1,0,2,2,2
PHD_2236,10.0,0.56007206,11.40175425099138,0.4732445478439331,17.26267650163207,11.83009386062622,1,0,3,1,1
PHD_2239,13.038404810405298,0.42860872,7.280109889280518,0.3842403024435043,12.529964086141668,9.777972984313966,1,0,2,3,3
PHD_2243,3.605551275463989,0.47631717,11.704699910719626,0.3619315475225448,7.071067811865476,9.693053722381592,1,0,2,3,3
PHD_2245,6.708203932499369,0.5683376,8.246211251235321,0.4889417022466659,10.63014581273465,7.823147296905518,1,0,0,0,1
PHD_2252,2.8284271247461903,0.37584823,2.8284271247461903,0.3249544382095337,13.038404810405298,20.29516220092773,1,0,4,4,3
PHD_2253,6.4031242374328485,0.45021516,6.324555320336759,0.4657112330198288,7.615773105863909,9.387521839141844,1,0,1,2,3
PHD_2259,10.0,0.49855387,12.16552506059644,0.4682403773069382,14.0356688476182,11.838339233398438,1,0,3,1,2
PHD_226,17.08800749063506,0.2804088,19.026297590440446,0.3353940278291702,18.027756377319943,7.0456897735595705,1,0,0,3,4
PHD_2275,11.0,0.5551633,10.198039027185567,0.4628264546394348,5.0990195135927845,11.700457286834716,1,0,3,2,1
PHD_2276,39.395431207184416,0.25073487,9.848857801796104,0.2383179813623428,13.152946437965904,26.212822341918944,1,0,4,4,4
PHD_2278,11.0,0.5566015,14.0356688476182,0.4777210265398025,18.24828759089466,10.250915145874025,1,0,2,1,1
PHD_229,9.219544457292889,0.49706912,8.06225774829855,0.452745971083641,13.0,8.750147986412049,1,0,1,2,2
PHD_2295,3.1622776601683795,0.5291213,10.198039027185567,0.4772179514169693,13.341664064126334,12.37928228378296,1,0,3,1,2
PHD_2319,3.0,0.5456507,8.06225774829855,0.4712276071310043,12.041594578792296,10.504725790023803,1,0,2,1,1
PHD_2328,6.4031242374328485,0.54858685,7.211102550927978,0.4854225486516952,11.180339887498947,9.746191501617432,1,0,2,0,1
PHD_233,5.385164807134504,0.53644955,6.708203932499369,0.4852841705083847,10.04987562112089,9.281319713592527,1,0,1,0,1
PHD_2354,3.0,0.5089382,8.54400374531753,0.4677169054746627,10.198039027185567,10.813238048553467,1,0,2,1,2
PHD_2358,2.8284271247461903,0.5938472,2.23606797749979,0.4623049706220626,6.0,9.752730989456175,1,0,2,2,0
PHD_239,5.0,0.4557287,15.297058540778355,0.4537613302469253,16.278820596099706,12.260842323303224,1,0,3,2,3
PHD_2431,5.385164807134504,0.51967156,11.04536101718726,0.4686364382505417,8.06225774829855,11.772551345825196,1,0,3,1,2
PHD_2458,10.0,0.5797546,14.560219778561036,0.4722315907478333,5.830951894845301,12.472555541992188,1,0,3,1,0
PHD_2469,1.4142135623730951,0.477221,6.324555320336759,0.4618723303079605,1.0,6.306174182891846,1,0,0,2,3
PHD_2496,8.602325267042627,0.647889,10.04987562112089,0.4873126119375229,13.038404810405298,11.678093528747558,1,0,3,0,0
PHD_2506,14.0,0.45534503,11.04536101718726,0.4268981546163559,5.0,14.20419521331787,1,0,3,3,3
PHD_2514,6.708203932499369,0.5854642,13.0,0.4714203327894211,17.72004514666935,11.015110969543455,1,0,2,1,0
PHD_253,5.830951894845301,0.64113307,9.055385138137416,0.4917889088392257,13.0,10.728748035430907,1,0,2,0,0
PHD_2537,19.313207915827967,0.52768433,25.05992817228333,0.4705989271402359,26.627053911388696,11.816057491302493,1,0,3,1,2
PHD_2540,8.0,0.58202946,15.033296378372908,0.4823912292718887,17.26267650163207,11.088491344451905,1,0,3,0,0
PHD_256,9.055385138137416,0.55073965,10.04987562112089,0.4203890055418015,5.385164807134504,10.973572731018066,1,0,2,3,1
PHD_259,5.830951894845301,0.5045489,3.605551275463989,0.4449480384588241,1.0,4.017370653152466,1,0,0,2,2
PHD_260,2.23606797749979,0.6175175,2.8284271247461903,0.4618442922830582,0.0,4.420791578292847,1,0,0,2,0
PHD_2604,20.024984394500787,0.42394286,17.11724276862369,0.382859805226326,14.866068747318506,12.390688514709472,1,0,3,3,3
PHD_2615,6.4031242374328485,0.5374806,7.211102550927978,0.4712588101625442,11.180339887498947,10.863782405853271,1,0,2,1,1
PHD_2622,5.830951894845301,0.47185808,18.35755975068582,0.3519454538822174,18.601075237738275,14.54740867614746,1,0,3,3,3
PHD_2636,2.8284271247461903,0.48778474,3.605551275463989,0.464938947558403,2.8284271247461903,5.041527652740479,1,0,0,2,2
PHD_2638,14.317821063276352,0.43857884,11.704699910719626,0.4256890803575516,18.68154169226941,8.740483903884888,1,0,1,3,3
PHD_2641,0.0,0.50934255,5.0,0.177663841843605,13.152946437965904,24.75891494750977,1,0,4,4,2
PHD_2643,5.830951894845301,0.6042639,10.198039027185567,0.490538278222084,6.4031242374328485,3.2084108352661134,1,0,0,0,0
PHD_2659,2.8284271247461903,0.45257723,10.44030650891055,0.451017889380455,7.0,3.929292392730713,1,0,0,2,3
PHD_2664,9.219544457292889,0.49103105,10.04987562112089,0.4588512331247329,8.0,4.038096570968628,1,0,0,2,2
