uid,S-MHA Error,S-MHA Uncertainty,Testing Fold,E-MHA Error,E-MHA Uncertainty,E-CPV Error,E-CPV Uncertainty,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
366_F0,8.602325267042627,0.28121546,0,1.4142135623730951,0.2485912054777145,5.830951894845301,3.8511221408844,0,0,1
208_F0,101.78899744078434,0.40492198,0,54.3323108288245,0.1120446234941482,38.2099463490856,65.70039215087891,2,2,0
318_F0,29.410882339705484,0.27621996,0,20.024984394500787,0.2003743559122085,19.0,9.540109443664551,2,2,1
195_F0,17.0,0.27561334,0,17.4928556845359,0.2237136006355285,23.706539182259394,5.587683773040771,0,1,1
194_F0,93.23089616645332,0.6846041,0,88.95504482602435,0.2590892851352692,45.044422518220834,49.26763229370117,2,0,0
336_F0,6.708203932499369,0.31806028,0,10.63014581273465,0.2675584286451339,8.06225774829855,8.944848823547364,2,0,0
329_F0,20.8806130178211,0.28908816,0,12.36931687685298,0.2661138325929642,14.560219778561036,9.113267421722412,2,0,1
399_F0,5.0990195135927845,0.32278028,0,5.0,0.2517720699310303,5.385164807134504,4.084286260604858,0,0,0
013_F0,7.615773105863909,0.3817613,0,6.4031242374328485,0.2705601662397384,9.486832980505138,4.668018531799317,0,0,0
125_F0,14.866068747318506,0.29510993,0,10.295630140987,0.2468159347772598,8.94427190999916,5.433517408370972,0,0,1
252_F0,17.46424919657298,0.29839972,0,5.0,0.2174377381801605,8.06225774829855,10.766812205314636,2,1,0
203_F0,5.385164807134504,0.35650128,0,6.082762530298219,0.2546244710683822,6.082762530298219,3.5624722242355347,0,0,0
114_F0,15.811388300841896,0.26601595,0,11.40175425099138,0.2097554996609688,12.041594578792296,5.778713417053223,0,1,2
061_F0,27.29468812791236,0.27654913,0,15.033296378372908,0.1535119891166687,27.80287754891569,26.41541404724121,2,2,1
248_F0,11.180339887498947,0.340681,0,7.280109889280518,0.2883785396814346,7.071067811865476,6.603131484985352,1,0,0
064_F0,5.0,0.2943177,0,13.92838827718412,0.2549089342355728,11.0,8.588512468338013,2,0,1
234_F0,32.89376840679705,0.28156903,0,14.866068747318506,0.1986363753676414,17.46424919657298,15.572437477111816,2,2,1
393_F0,17.08800749063506,0.25268853,0,12.806248474865695,0.1765379950404167,14.422205101855956,7.624508380889893,1,2,2
332_F0,2.23606797749979,0.27348775,0,4.242640687119285,0.2328140199184417,7.071067811865476,10.5759991645813,2,1,1
348_F0,9.899494936611664,0.27614275,0,7.810249675906654,0.2383902207016945,7.615773105863909,4.336647701263428,0,1,1
243_F0,3.1622776601683795,0.3175549,0,2.8284271247461903,0.2452959954738617,7.810249675906654,5.813283157348633,1,1,0
365_F0,11.704699910719626,0.2183624,0,12.083045973594572,0.1903952315449714,15.620499351813308,28.950707244873048,2,2,2
235_F0,105.39449701004318,0.22249825,0,6.324555320336759,0.1264641419053077,43.86342439892262,44.61520080566406,2,2,2
069_F0,16.278820596099706,0.28203955,0,6.324555320336759,0.2237331986427307,6.324555320336759,7.25573034286499,1,1,1
265_F0,9.848857801796104,0.33987287,0,9.848857801796104,0.2261055648326873,8.246211251235321,4.727838468551636,0,1,0
058_F0,16.64331697709324,0.2880139,0,9.0,0.1956452876329422,15.0,8.350040054321289,1,2,1
342_F0,14.560219778561036,0.22507972,0,5.656854249492381,0.2198689237236976,6.324555320336759,5.185889911651612,0,1,2
198_F0,5.0990195135927845,0.3514231,0,6.324555320336759,0.2771761626005172,3.605551275463989,5.142273712158203,0,0,0
044_F0,5.0,0.28295073,0,2.23606797749979,0.2481123119592666,2.0,6.942825365066528,1,0,1
007_F0,5.385164807134504,0.32643574,0,4.0,0.2626137360930443,6.082762530298219,8.380613040924072,1,0,0
351_F0,88.09086218218096,0.26373824,0,16.0312195418814,0.1705319315195083,20.615528128088304,29.66159324645996,2,2,2
270_F0,6.324555320336759,0.31287086,0,7.071067811865476,0.2815792351961136,4.242640687119285,7.42289628982544,1,0,0
288_F0,17.0,0.2971725,0,14.317821063276352,0.2786487221717834,12.083045973594572,4.723431301116944,0,0,0
380_F0,7.810249675906654,0.37153658,0,8.48528137423857,0.2850208610296249,5.385164807134504,5.8627416610717775,1,0,0
205_F0,11.04536101718726,0.26476097,0,10.63014581273465,0.2183882236480712,8.06225774829855,5.758625936508179,0,1,2
132_F0,21.095023109728988,0.33130345,0,11.31370849898476,0.2769173890352249,11.6619037896906,6.071610450744629,1,0,0
397_F0,12.206555615733702,0.31323075,0,10.198039027185567,0.2508303821086883,14.866068747318506,5.79894609451294,1,0,0
247_F0,15.0,0.26617646,0,8.0,0.2505898982286453,7.071067811865476,7.889293098449707,1,0,2
283_F0,5.385164807134504,0.27323338,0,10.44030650891055,0.1934106051921844,2.0,9.588337802886963,2,2,1
396_F0,9.219544457292889,0.30712023,0,2.0,0.2204305931925773,4.0,7.427522993087768,1,1,0
346_F0,1.4142135623730951,0.28093493,0,6.082762530298219,0.2510173469781875,4.123105625617661,3.921110248565674,0,0,1
286_F0,5.656854249492381,0.2743231,0,6.4031242374328485,0.2622151881456375,9.486832980505138,5.539032077789306,0,0,1
295_F0,8.602325267042627,0.3045845,0,2.23606797749979,0.2266106650233268,10.816653826391969,5.038301563262939,0,1,0
091_F0,7.615773105863909,0.3026887,0,9.055385138137416,0.2904005467891693,10.04987562112089,6.2417988777160645,1,0,0
352_F0,15.620499351813308,0.36865944,0,7.280109889280518,0.1562985271215438,5.0990195135927845,34.92462348937988,2,2,0
316_F0,91.23595782365636,0.247195,0,13.41640786499874,0.1687303751707077,20.0,32.3237865447998,2,2,2
309_F0,51.24451190127583,0.22478975,0,40.85339643163099,0.1905157282948494,45.880278987817846,7.7009117603302,1,2,2
217_F0,5.0,0.28607115,0,1.0,0.2403501749038696,3.605551275463989,4.45780611038208,0,1,1
049_F0,4.123105625617661,0.24876733,0,1.4142135623730951,0.2146091759204864,24.698178070456937,34.39507904052734,2,1,2
156_F0,7.280109889280518,0.32881364,0,4.123105625617661,0.2741392433643341,1.0,5.245524120330811,0,0,0
212_F0,15.033296378372908,0.3015742,0,9.055385138137416,0.3249504148960113,13.152946437965904,4.048642539978028,0,0,0
